Arquivo,Vertices,Arestas,Densidade,Representacao,Algoritmo,Direcionado,Execucao,Tempo(ns)
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,1,506600
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,2,348100
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,3,272000
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,4,303800
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,5,265400
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,6,244500
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,7,254100
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,8,226000
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,9,334300
grafos/sample100-9900.gr,100,9900,1.0,Lista,Dijkstra,Dirigido,10,364500
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,1,358200
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,2,192500
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,3,209700
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,4,198600
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,5,236500
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,6,240000
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,7,211700
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,8,212800
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,9,219300
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Dijkstra,Dirigido,10,213100
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,1,1794700
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,2,1718700
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,3,1734300
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,4,1649600
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,5,1732800
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,6,1603500
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,7,1791500
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,8,1798300
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,9,2026500
grafos/sample100-9900.gr,100,9900,1.0,Lista,Bellman-Ford,Dirigido,10,1721800
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,1,1924800
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,2,1546700
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,3,1472900
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,4,1455800
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,5,1577700
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,6,1348000
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,7,1336700
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,8,1519100
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,9,1392100
grafos/sample100-9900.gr,100,9900,1.0,Matriz,Bellman-Ford,Dirigido,10,1289800
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,1,1443200
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,2,1217200
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,3,784500
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,4,666000
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,5,1108500
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,6,831800
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,7,626600
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,8,550500
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,9,593200
grafos/sample200-7960.gr,200,7960,0.2,Lista,Dijkstra,Dirigido,10,566700
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,1,322100
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,2,291600
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,3,305900
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,4,285400
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,5,318800
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,6,308900
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,7,301100
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,8,305600
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,9,332600
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Dijkstra,Dirigido,10,493900
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,1,83630200
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,2,57066800
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,3,52751000
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,4,52283100
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,5,57410000
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,6,49451400
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,7,49843500
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,8,63000300
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,9,58277000
grafos/sample200-7960.gr,200,7960,0.2,Lista,Bellman-Ford,Dirigido,10,48402800
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,1,13073900
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,2,12621600
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,3,12982700
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,4,12916500
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,5,13051500
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,6,12899300
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,7,12990800
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,8,13241700
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,9,12925800
grafos/sample200-7960.gr,200,7960,0.2,Matriz,Bellman-Ford,Dirigido,10,12833400
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,1,2021200
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,2,1816400
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,3,1666700
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,4,2053100
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,5,2171200
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,6,2236800
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,7,1994600
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,8,2061700
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,9,1794900
grafos/sample200-15920.gr,200,15920,0.4,Lista,Dijkstra,Dirigido,10,1674900
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,1,407500
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,2,289400
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,3,288700
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,4,280400
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,5,287300
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,6,284700
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,7,296300
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,8,287600
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,9,288800
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Dijkstra,Dirigido,10,298900
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,1,163188600
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,2,185843200
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,3,124471700
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,4,131374300
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,5,122968900
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,6,136589100
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,7,134351300
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,8,143823900
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,9,138782900
grafos/sample200-15920.gr,200,15920,0.4,Lista,Bellman-Ford,Dirigido,10,135277200
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,1,21340600
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,2,21379000
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,3,21343500
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,4,21287200
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,5,21275700
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,6,21201800
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,7,21291500
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,8,21431500
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,9,21330700
grafos/sample200-15920.gr,200,15920,0.4,Matriz,Bellman-Ford,Dirigido,10,21312000
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,1,3153600
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,2,3216300
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,3,3424900
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,4,2893300
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,5,2375800
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,6,2617400
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,7,2851500
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,8,3087300
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,9,2758300
grafos/sample200-23880.gr,200,23880,0.6,Lista,Dijkstra,Dirigido,10,2617200
grafos/sample200-23880.gr,200,23880,0.6,Matriz,Dijkstra,Dirigido,1,386600
grafos/sample200-23880.gr,200,23880,0.6,Matriz,Dijkstra,Dirigido,2,364800
